country,hepatitis_B,polio,diphtheria ,under_five_deaths ,life_expectancy ,total_expenditure,population,year,
Philippines,6,79,6,66,68.5,,11716359,2015,
Philippines,67,77,67,68,68.4,4.71,112249,2014,
Philippines,89,84,89,69,68.1,4.56,9848132,2013,
Philippines,88,88,88,71,68.1,4.46,96866642,2012,
Philippines,87,87,87,72,68,4.29,9527794,2011,
Philippines,77,78,79,74,67.9,4.37,93726624,2010,
Philippines,85,86,87,76,68,4.41,9222879,2009,
Philippines,88,91,91,78,67.5,4.5,9751864,2008,
Philippines,87,87,87,80,67.5,3.94,8929349,2007,
Philippines,77,88,88,82,67.3,3.95,8789419,2006,
Philippines,49,9,89,84,67,3.91,86274237,2005,
Philippines,48,85,88,86,67.3,3.23,84678493,2004,
Philippines,52,85,84,87,67.2,3.25,8331954,2003,
Philippines,42,77,79,89,66.8,2.79,813526,2002,
Philippines,45,76,79,89,66.8,3,79665315,2001,
Philippines,7,74,78,90,66.8,3.21,77991569,2000,
Qatar,99,99,99,0,78.2,,592468,2015,
Qatar,89,99,89,0,78.1,2.19,615012,2014,
Qatar,97,99,97,0,77.9,2.15,640868,2013,
Qatar,93,93,92,0,77.8,2.16,681788,2012,
Qatar,93,92,93,0,77.5,1.93,753334,2011,
Qatar,97,98,97,0,77.3,2.9,865416,2010,
Qatar,99,98,99,0,77,2.63,1022711,2009,
Qatar,97,98,97,0,76.8,1.87,1218434,2008,
Qatar,94,97,94,0,76.7,2.31,1436665,2007,
Qatar,96,95,96,0,76.6,2.58,1654950,2006,
Qatar,97,98,97,0,76.6,3.1,1856327,2005,
Qatar,97,95,96,0,76.6,3.61,2035871,2004,
Qatar,93,93,92,0,76.5,4.14,2196074,2003,
Qatar,98,96,96,0,76.4,2.71,2336574,2002,
Qatar,93,93,93,0,76.3,2.56,2459198,2001,
Qatar,89,91,8,0,76.2,2.18,2565710,2000,
Republic of Korea,98,98,98,2,82.3,,,2015,
Republic of Korea,99,99,99,2,82,7.37,,2014,
Republic of Korea,99,99,99,2,81.7,7.2,,2013,
Republic of Korea,99,99,99,2,81.2,7.1,,2012,
Republic of Korea,99,98,99,2,81.1,6.83,,2011,
Republic of Korea,94,95,94,2,87,6.79,,2010,
Republic of Korea,94,95,94,2,86,6.66,,2009,
Republic of Korea,94,92,94,2,83,6.16,,2008,
Republic of Korea,91,91,91,2,79.8,5.99,,2007,
Republic of Korea,99,98,98,2,79.4,5.76,,2006,
Republic of Korea,99,96,96,3,78.7,5.33,,2005,
Republic of Korea,92,9,88,3,78.2,4.96,,2004,
Republic of Korea,91,94,97,3,77.6,4.93,,2003,
Republic of Korea,92,99,97,4,77.1,4.61,,2002,
Republic of Korea,89,99,97,4,76.7,4.76,,2001,
Republic of Korea,93,99,97,4,76,4.23,,2000,
Saudi Arabia,98,97,98,8,74.5,,,2015,
Saudi Arabia,98,98,98,9,74.4,4.68,,2014,
Saudi Arabia,98,98,98,9,74.3,4.25,,2013,
Saudi Arabia,98,98,98,9,74.1,3.86,,2012,
Saudi Arabia,98,98,98,9,73.9,3.57,,2011,
Saudi Arabia,98,98,98,9,73.7,3.49,,2010,
Saudi Arabia,98,98,98,10,73.4,4.9,,2009,
Saudi Arabia,98,98,98,10,73.3,2.87,,2008,
Saudi Arabia,96,96,96,10,73.2,3.49,,2007,
Saudi Arabia,96,96,96,10,73.2,3.55,,2006,
Saudi Arabia,97,96,96,10,73.1,3.42,,2005,
Saudi Arabia,96,96,96,11,73.1,3.58,,2004,
Saudi Arabia,95,95,95,11,73,4.2,,2003,
Saudi Arabia,97,95,95,11,72.9,4.28,,2002,
Saudi Arabia,95,97,97,12,72.8,4.49,,2001,
Saudi Arabia,93,95,95,12,72.6,4.24,,2000,
Singapore,96,96,96,0,83.1,,,2015,
Singapore,96,96,96,0,82.9,4.92,,2014,
Singapore,97,97,97,0,82.7,4.53,,2013,
Singapore,97,97,97,0,82.5,4.22,,2012,
Singapore,96,96,96,0,82.2,3.93,,2011,
Singapore,96,96,96,0,82,3.96,,2010,
Singapore,96,97,97,0,81.7,4.27,,2009,
Singapore,97,97,97,0,81.4,3.91,,2008,
Singapore,96,97,97,0,81.1,3.46,,2007,
Singapore,95,95,95,0,87,3.66,,2006,
Singapore,96,96,96,0,82,3.74,,2005,
Singapore,94,95,95,0,79.7,3.17,,2004,
Singapore,95,96,96,0,79.3,3.63,,2003,
Singapore,95,94,94,0,79,2.84,,2002,
Singapore,95,95,96,0,78.7,2.37,,2001,
Singapore,97,98,98,0,78.3,2.71,,2000,
Syrian Arab Republic,41,5,41,8,64.5,,18734987,2015,
Syrian Arab Republic,47,52,43,8,64.4,3.25,19239,2014,
Syrian Arab Republic,71,5,41,9,63.6,3.25,1989141,2013,
Syrian Arab Republic,43,47,45,9,62.8,3.25,24271,2012,
Syrian Arab Republic,66,6,72,8,71.7,3.23,2863993,2011,
Syrian Arab Republic,84,83,8,9,73.7,3.28,2118834,2010,
Syrian Arab Republic,84,83,8,9,73.8,3.55,2824893,2009,
Syrian Arab Republic,83,83,79,9,73.8,3.4,2325443,2008,
Syrian Arab Republic,83,83,8,9,73.8,3.72,1963286,2007,
Syrian Arab Republic,83,83,8,10,73.7,3.78,18914977,2006,
Syrian Arab Republic,83,83,8,10,73.5,4.11,18294611,2005,
Syrian Arab Republic,82,84,81,10,73.2,4.48,1786638,2004,
Syrian Arab Republic,81,85,83,11,73,5.12,17415266,2003,
Syrian Arab Republic,8,86,84,11,72.8,4.94,178791,2002,
Syrian Arab Republic,8,83,82,11,72.7,4.92,16766899,2001,
Syrian Arab Republic,79,86,84,12,72.6,4.92,1641848,2000,
Tajikistan,96,96,96,11,69.7,,8548651,2015,
Tajikistan,97,94,97,11,69.6,6.88,8362745,2014,
Tajikistan,96,97,96,11,69.3,6.75,817789,2013,
Tajikistan,94,96,94,12,68.8,6.39,799562,2012,
Tajikistan,96,97,96,12,68.1,5.98,7815949,2011,
Tajikistan,93,95,93,12,67.3,6.4,764163,2010,
Tajikistan,93,93,93,12,66.7,5.93,7472819,2009,
Tajikistan,86,87,86,12,66.4,5.58,739728,2008,
Tajikistan,84,85,86,12,66.1,5.35,7152385,2007,
Tajikistan,88,76,83,12,65.9,5.7,7557,2006,
Tajikistan,81,79,84,12,65.5,5.89,6854176,2005,
Tajikistan,81,82,86,13,65.9,5.7,6712841,2004,
Tajikistan,58,82,85,14,65.2,4.46,6576877,2003,
Tajikistan,39,84,85,15,64.3,4.48,6447688,2002,
Tajikistan,,84,85,16,64,4.59,6327125,2001,
Tajikistan,,86,83,17,63.7,4.64,621625,2000,
Thailand,99,99,99,9,74.9,,686576,2015,
Thailand,99,99,99,10,74.6,4.12,68416772,2014,
Thailand,99,99,99,10,74.5,4,6814365,2013,
Thailand,98,99,99,11,74.3,4.17,67843979,2012,
Thailand,98,99,99,11,74.1,4.12,675313,2011,
Thailand,98,99,99,12,73.9,3.81,672888,2010,
Thailand,98,99,99,12,73.7,4.11,66881867,2009,
Thailand,98,99,99,13,73.5,3.92,6654576,2008,
Thailand,96,98,98,14,73.3,3.56,66195615,2007,
Thailand,96,98,98,15,73,3.49,65824164,2006,
Thailand,96,98,98,15,72.5,3.55,6542547,2005,
Thailand,96,98,98,16,71.6,3.51,652231,2004,
Thailand,96,98,98,18,71.7,3.58,64554952,2003,
Thailand,95,97,96,19,71.4,3.7,6473164,2002,
Thailand,95,97,96,20,71.2,3.32,63543322,2001,
Thailand,95,97,97,21,71.1,3.4,6295821,2000,
Timor-Leste,76,75,76,2,68.3,,124977,2015,
Timor-Leste,77,76,77,2,68,1.48,1212814,2014,
Timor-Leste,82,82,82,2,67.7,1.29,1184366,2013,
Timor-Leste,83,83,83,2,67.4,1.1,115676,2012,
Timor-Leste,67,66,67,3,67.2,0.76,1131523,2011,
Timor-Leste,72,72,72,3,66.9,0.92,119591,2010,
Timor-Leste,72,78,72,3,66.6,1.2,19221,2009,
Timor-Leste,79,79,79,3,66.2,0.74,17811,2008,
Timor-Leste,,7,7,3,65.8,0.37,164973,2007,
Timor-Leste,,62,63,3,64.9,0.65,148621,2006,
Timor-Leste,,55,55,3,63.7,1.5,126484,2005,
Timor-Leste,,57,57,3,62.3,1.31,996698,2004,
Timor-Leste,,55,55,4,61,2.48,96852,2003,
Timor-Leste,,38,54,4,62,3.89,923825,2002,
Timor-Leste,,,,4,59.4,3.75,892531,2001,
Timor-Leste,,,,4,58.7,3.26,87167,2000,
Turkey,97,97,97,18,75.8,,78271472,2015,
Turkey,96,96,96,19,75.5,5.41,773628,2014,
Turkey,97,98,98,20,75.2,5.38,75787333,2013,
Turkey,97,97,97,22,74.8,5.24,74569867,2012,
Turkey,96,97,97,23,74.5,5.29,7349455,2011,
Turkey,96,97,97,25,74.2,5.61,72326914,2010,
Turkey,94,96,96,27,73.9,6.8,71339185,2009,
Turkey,92,96,96,29,73.5,6.7,74432,2008,
Turkey,96,96,96,31,73.2,6.4,69597281,2007,
Turkey,82,9,9,34,72.8,5.81,6876345,2006,
Turkey,85,9,9,36,72.4,5.45,679346,2005,
Turkey,77,85,85,39,72,5.37,677855,2004,
Turkey,68,69,68,43,71.6,5.34,668583,2003,
Turkey,72,78,78,46,71.2,5.36,6514354,2002,
Turkey,77,88,88,50,78,5.16,64191474,2001,
Turkey,71,85,85,54,74,4.95,6324121,2000,
Turkmenistan,99,99,99,7,66.3,,5565284,2015,
Turkmenistan,97,98,98,8,66,2.7,5466241,2014,
Turkmenistan,98,98,98,8,65.4,2.12,5366277,2013,
Turkmenistan,98,98,97,8,65.6,1.96,5267839,2012,
Turkmenistan,97,97,97,8,65.6,1.98,517461,2011,
Turkmenistan,96,96,96,8,65.8,1.99,58721,2010,
Turkmenistan,97,97,96,8,65.6,1.88,5795,2009,
Turkmenistan,96,96,96,8,64.5,1.93,4935762,2008,
Turkmenistan,98,98,98,8,64.1,2.16,487137,2007,
Turkmenistan,98,98,98,8,63.7,2.9,48115,2006,
Turkmenistan,99,99,99,8,63.3,3.51,4754641,2005,
Turkmenistan,96,98,97,8,63.5,4.3,473398,2004,
Turkmenistan,97,66,83,8,63.4,3.85,4655741,2003,
Turkmenistan,96,99,98,8,63.3,3.34,4612,2002,
Turkmenistan,,94,95,9,64,3.87,45648,2001,
Turkmenistan,,98,97,9,63.8,3.94,4516131,2000,
United Arab Emirates,99,99,99,1,77.1,,3134062,2015,
United Arab Emirates,99,99,99,1,76.9,3.64,3302719,2014,
United Arab Emirates,98,98,98,1,76.7,3.49,3478777,2013,
United Arab Emirates,96,96,96,1,76.5,3.45,3711932,2012,
United Arab Emirates,95,95,95,1,76.3,3.7,4068570,2011,
United Arab Emirates,94,94,94,1,76.2,3.93,4588225,2010,
United Arab Emirates,93,94,93,1,76,4.5,5300174,2009,
United Arab Emirates,92,94,92,1,75.8,2.93,6168838,2008,
United Arab Emirates,92,94,92,1,75.6,2.57,7089487,2007,
United Arab Emirates,92,94,92,1,75.4,2.33,7917372,2006,
United Arab Emirates,92,94,94,1,75.3,2.32,8549988,2005,
United Arab Emirates,92,94,94,1,75.1,2.46,8946777,2004,
United Arab Emirates,92,94,94,1,74.9,2.65,9141596,2003,
United Arab Emirates,92,94,94,1,74.7,2.72,9197910,2002,
United Arab Emirates,92,94,94,1,74.5,2.48,9214175,2001,
United Arab Emirates,92,94,94,1,74.2,2.38,9262900,2000,
Uzbekistan,99,99,99,17,69.4,,312989,2015,
Uzbekistan,99,99,99,18,69.2,5.84,37577,2014,
Uzbekistan,99,99,99,19,69.1,6.32,32432,2013,
Uzbekistan,99,99,99,21,68.8,6.49,297745,2012,
Uzbekistan,99,99,99,22,68.5,5.65,293394,2011,
Uzbekistan,99,99,99,23,68.3,5.34,285624,2010,
Uzbekistan,98,99,98,24,68,6.31,277674,2009,
Uzbekistan,91,98,98,25,67.9,5.92,27328,2008,
Uzbekistan,99,98,96,26,67.8,5.81,26868,2007,
Uzbekistan,98,94,96,27,67.6,5.49,2648825,2006,
Uzbekistan,99,99,99,28,67.3,5.11,26167,2005,
Uzbekistan,99,99,99,29,67.8,5.11,2586435,2004,
Uzbekistan,99,99,98,30,67.2,5.17,2556765,2003,
Uzbekistan,62,99,99,32,67.1,5.44,2527185,2002,
Uzbekistan,,99,99,34,67.4,5.28,2496445,2001,
Uzbekistan,,99,99,36,67.1,5.29,24654,2000,
Viet Nam,97,97,97,35,76,,,2015,
Viet Nam,95,96,95,35,75.9,7.7,,2014,
Viet Nam,59,93,59,35,75.7,7.17,,2013,
Viet Nam,97,97,97,36,75.6,6.96,,2012,
Viet Nam,95,96,95,36,75.4,6.2,,2011,
Viet Nam,88,94,93,35,75.2,6.36,,2010,
Viet Nam,94,97,96,35,75,6.4,,2009,
Viet Nam,87,93,93,35,74.9,5.53,,2008,
Viet Nam,67,92,92,35,74.7,6.9,,2007,
Viet Nam,93,94,94,35,74.6,5.56,,2006,
Viet Nam,94,94,95,36,74.4,5.38,,2005,
Viet Nam,94,96,96,36,74.2,5.9,,2004,
Viet Nam,78,96,99,37,74,4.84,,2003,
Viet Nam,,92,75,39,73.8,4.7,,2002,
Viet Nam,,96,96,41,73.6,5.17,,2001,
Viet Nam,,96,96,43,73.4,4.89,,2000,
Yemen,69,63,69,47,65.7,,,2015,
Yemen,73,67,73,47,65.4,5.64,,2014,
Yemen,73,67,73,46,65.4,5.78,,2013,
Yemen,67,68,67,46,64.7,5.73,,2012,
Yemen,69,69,69,45,64.6,5.4,,2011,
Yemen,76,77,76,45,64.4,5.17,,2010,
Yemen,76,76,76,46,64.1,5.32,,2009,
Yemen,78,78,78,47,63.8,5.12,,2008,
Yemen,79,79,79,49,63.4,4.92,,2007,
Yemen,78,78,78,51,63,4.82,,2006,
Yemen,8,8,79,53,62.6,4.58,,2005,
Yemen,43,72,72,56,62.2,4.9,,2004,
Yemen,38,61,61,58,61.9,5,,2003,
Yemen,31,64,65,61,61.5,4.22,,2002,
Yemen,19,73,73,63,61.1,4.34,,2001,
Yemen,14,74,74,66,68,4.14,,2000,
Lao People's Democratic Republic,89,89,89,11,65.7,,,2015,
Lao People's Democratic Republic,88,88,88,11,65.3,1.87,,2014,
Lao People's Democratic Republic,87,86,87,12,64.9,2,,2013,
Lao People's Democratic Republic,79,78,79,12,64.4,2.12,,2012,
Lao People's Democratic Republic,78,79,78,13,64,2.2,,2011,
Lao People's Democratic Republic,74,76,74,13,63.6,2.75,,2010,
Lao People's Democratic Republic,67,67,67,14,63.1,3.77,,2009,
Lao People's Democratic Republic,61,6,61,14,62.6,2.77,,2008,
Lao People's Democratic Republic,5,46,5,15,62.1,4.14,,2007,
Lao People's Democratic Republic,57,56,57,15,61.5,4.14,,2006,
Lao People's Democratic Republic,49,5,49,16,61,4.32,,2005,
Lao People's Democratic Republic,45,46,45,16,64,4.54,,2004,
Lao People's Democratic Republic,5,52,49,17,59.8,4.91,,2003,
Lao People's Democratic Republic,,55,53,18,59.3,4.4,,2002,
Lao People's Democratic Republic,,55,52,19,58.7,4.32,,2001,
Lao People's Democratic Republic,,57,51,20,58.1,3.41,,2000,
